Valoren,Morningstar Credit Rating,Rating
24354752,AA-,6
21311603,AA-,6
21311621,AA-,6
21311623,AA-,6
21311624,AA-,6
24354743,AA-,6
24354748,AA-,6
24354749,AA-,6
24354751,AA-,6
24354753,AA-,6
24354755,AA-,6
27018516,AA-,6
27018526,AA-,6
27018527,AA-,6
28185169,AA-,6
28185178,AA-,6
28185181,AA-,6
28185185,AA-,6
28185186,AA-,6
28185187,AA-,6
28185189,AA-,6
31618387,AA-,6
31618394,AA-,6
31618395,AA-,6
31618396,AA-,6
31618398,AA-,6
31618399,AA-,6
31618400,AA-,6
31618401,AA-,6
31618402,AA-,6
27018533,AA-,6
27018538,AA-,6
32859441,AA-,6
33461293,AA-,6
33461303,AA-,6
33461308,AA-,6
33461312,AA-,6
33461314,AA-,6
21311603,AA-,6
21311621,AA-,6
21311623,AA-,6
21311624,AA-,6
24354743,AA-,6
24354748,AA-,6
24354749,AA-,6
24354751,AA-,6
24354752,AA-,6
24354753,AA-,6
24354755,AA-,6
27018516,AA-,6
27018526,AA-,6
27018527,AA-,6
27018533,AA-,6
27018538,AA-,6
28185169,AA-,6
28185178,AA-,6
28185181,AA-,6
28185185,AA-,6
28185186,AA-,6
28185187,AA-,6
28185189,AA-,6
31618387,AA-,6
31618394,AA-,6
31618395,AA-,6
31618396,AA-,6
31618398,AA-,6
31618399,AA-,6
31618400,AA-,6
31618401,AA-,6
31618402,AA-,6
32859441,AA-,6
33461293,AA-,6
33461303,AA-,6
33461308,AA-,6
33461312,AA-,6
33461314,AA-,6
3359569,A,8
3879325,A,8
3881470,A,8
10199852,A,8
20185542,A,8
20456342,A,8
20456358,A,8
21435608,A,8
21435616,A,8
26296731,A,8
10199852,A,8
3359569,A,8
3879325,A,8
3881470,A,8
20185542,A,8
20456342,A,8
20456358,A,8
21435608,A,8
21435616,A,8
26296731,A,8
73802,A,8
1557373,A,8
1000767,A,8
135773,A,8
802858,A,8
925477,A,8
104919,A,8
10031189,A,8
10398199,A,8
716139,A,8
723255,A,8
10031196,A,8
10753527,A,8
10398798,A,8
866244,A,8
21311533,A,8
25932360,A,8
25932364,A,8
25932367,A,8
27212641,A,8
27212643,A,8
27212645,A,8
28859503,A,8
30202179,A,8
30241955,A,8
30241963,A,8
32620534,A,8
32620536,A,8
32620539,A,8
73802,A,8
104919,A,8
1557373,A,8
1000767,A,8
135773,A,8
802858,A,8
866244,A,8
925477,A,8
10031189,A,8
10398199,A,8
716139,A,8
723255,A,8
10031196,A,8
10753527,A,8
10398798,A,8
21311533,A,8
25932360,A,8
25932364,A,8
25932367,A,8
27212641,A,8
27212643,A,8
27212645,A,8
28859503,A,8
30202179,A,8
30241955,A,8
30241963,A,8
32620534,A,8
32620536,A,8
32620539,A,8
2660105,A,8
13091865,A,8
2280996,A,8
13091866,A,8
1020716,A,8
867971,A,8
65651,A,8
4889112,A,8
1413422,A,8
1236612,A,8
4889076,A,8
24391718,A,8
24391728,A,8
24391731,A,8
601889,A,8
18896452,A,8
18896532,A,8
19482910,A,8
2280996,A,8
2660105,A,8
13091865,A,8
13091866,A,8
24391718,A,8
24391728,A,8
24391731,A,8
4889076,A,8
601889,A,8
1236612,A,8
1020716,A,8
1413422,A,8
4889112,A,8
65651,A,8
867971,A,8
18896452,A,8
18896532,A,8
19482910,A,8
10732667,AA,5
10733003,AA,5
12669435,AA,5
2881634,AA,5
2989905,AA,5
23812303,AA,5
23812545,AA,5
23812547,AA,5
23812548,AA,5
23812552,AA,5
23812554,AA,5
28549962,AA,5
28549969,AA,5
28549971,AA,5
28549979,AA,5
28549980,AA,5
31697542,AA,5
