Valoren,DurationToMaturity
24354752,16.4277
21311603,1.4564
21311621,1.9846
21311623,6.0192
21311624,16.6491
24354743,0.4833
24354748,2.4214
24354749,4.2318
24354751,6.6724
24354753,0.7583
24354755,2.445
27018516,3.1454
27018526,7.4291
27018527,17.5017
28185169,0.7583
28185178,3.9069
28185181,0.5028
28185185,3.8391
28185186,5.5769
28185187,7.9114
28185189,16.8998
31618387,1.2598
31618394,2.2252
31618395,2.9367
31618396,4.0759
31618398,8.0374
31618399,4.8014
31618400,13.2525
31618401,5.7572
31618402,16.7274
27018533,3.6873
27018538,4.9469
32859441,0
33461293,2.9519
33461303,2.6703
33461308,4.545
33461312,8.6228
33461314,17.4883
21311603,1.4564
21311621,1.9846
21311623,6.0192
21311624,16.6491
24354743,0.4833
24354748,2.4214
24354749,4.2318
24354751,6.6724
24354752,16.4277
24354753,0.7583
24354755,2.445
27018516,3.1454
27018526,7.4291
27018527,17.5017
27018533,3.6873
27018538,4.9469
28185169,0.7583
28185178,3.9069
28185181,0.5028
28185185,3.8391
28185186,5.5769
28185187,7.9114
28185189,16.8998
31618387,1.2598
31618394,2.2252
31618395,2.9367
31618396,4.0759
31618398,8.0374
31618399,4.8014
31618400,13.2525
31618401,5.7572
31618402,16.7274
32859441,0
33461293,2.9519
33461303,2.6703
33461308,4.545
33461312,8.6228
33461314,17.4883
3359569,0.7972
3879325,1.2936
3881470,12.1093
10199852,2.2592
20185542,7.8703
20456342,5.5568
20456358,15.9456
21435608,1.4938
21435616,1.9757
26296731,6.9622
10199852,2.2592
3359569,0.7972
3879325,1.2936
3881470,12.1093
20185542,7.8703
20456342,5.5568
20456358,15.9456
21435608,1.4938
21435616,1.9757
26296731,6.9622
73802,14.1382
1557373,11.197
1000767,12.9009
135773,14.7573
802858,6.1243
925477,14.0712
104919,6.6934
10031189,2.1973
10398199,3.0206
716139,4.0276
723255,9.8916
10031196,13.4637
10753527,0.0278
10398798,14.0895
866244,10.2852
21311533,1.9831
25932360,1.4873
25932364,4.7051
25932367,7.1751
27212641,7.4954
27212643,13.6852
27212645,17.7467
28859503,0
30202179,3.8426
30241955,5.61
30241963,8.0341
32620534,6.1582
32620536,8.5609
32620539,18.0723
73802,14.1382
104919,6.6934
1557373,11.197
1000767,12.9009
135773,14.7573
802858,6.1243
866244,10.2852
925477,14.0712
10031189,2.1973
10398199,3.0206
716139,4.0276
723255,9.8916
10031196,13.4637
10753527,0.0278
10398798,14.0895
21311533,1.9831
25932360,1.4873
25932364,4.7051
25932367,7.1751
27212641,7.4954
27212643,13.6852
27212645,17.7467
28859503,0
30202179,3.8426
30241955,5.61
30241963,8.0341
32620534,6.1582
32620536,8.5609
32620539,18.0723
2660105,12.5848
13091865,4.1405
2280996,12.6313
13091866,14.5966
1020716,8.6499
867971,3.7033
65651,5.1349
4889112,12.7258
1413422,14.3574
1236612,9.9268
4889076,1.9123
24391718,7.0897
24391728,16.7674
24391731,20.1317
601889,20.1659
18896452,0.625
18896532,5.2086
19482910,16.3265
2280996,12.6313
2660105,12.5848
13091865,4.1405
13091866,14.5966
24391718,7.0897
24391728,16.7674
24391731,20.1317
4889076,1.9123
601889,20.1659
1236612,9.9268
1020716,8.6499
1413422,14.3574
4889112,12.7258
65651,5.1349
867971,3.7033
18896452,0.625
18896532,5.2086
19482910,16.3265
10732667,2.9549
10733003,14.1568
12669435,0.3417
2881634,13.6872
2989905,2.1348
23812303,4.0569
23812545,6.4686
23812547,2.2402
23812548,0.3111
23812552,2.2548
23812554,0.7528
28549962,1.5563
28549969,5.1273
28549971,7.4253
28549979,3.4173
28549980,2.229
31697542,5.8083
31697615,1.273
31697621,2.2441
31697626,8.1466
31697629,4.0934
31697644,1.9649
33961083,2.7927
33966812,6.3656
33966813,4.6419
33966814,2.7958
33966815,8.7311
2881634,13.6872
2989905,2.1348
10732667,2.9549
10733003,14.1568
12669435,0.3417
23812303,4.0569
23812545,6.4686
23812547,2.2402
23812548,0.3111
23812552,2.2548
23812554,0.7528
28549962,1.5563
28549969,5.1273
28549971,7.4253
28549979,3.4173
28549980,2.229
31697542,5.8083
31697615,1.273
31697621,2.2441
31697626,8.1466
31697629,4.0934
31697644,1.9649
33961083,2.7927
33966812,6.3656
33966813,4.6419
33966814,2.7958
33966815,8.7311
14247808,6.5917
14247760,4.1996
14093628,4.4704
12260485,3.7793
11756761,3.5615
10886989,2.8928
200460,11.7461
4954263,13.1166
12433230,9.4152
12600856,3.1367
1393054,10.4814
10435985,2.5296
2110303,0
10759313,0.0111
13138241,4.9642
13138242,10.9941
13334575,6.5203
11072447,2.2172
11093157,1.2984
11117736,2.2207
11190056,0.4278
11190125,5.5626
11200738,0.4278
11363327,1.5209
11651929,3.0559
11741821,3.1374
11820597,1.864
11914564,0.9278
11948629,5.0037
11947197,1.4736
12008034,5.0165
12103731,5.3437
12403814,4.7066
12600858,9.5398
12791693,8.3807
12829715,8.3768
12829720,9.5662
12829721,12.7654
13055552,6.8645
13253349,6.4524
13373135,3.415
13504874,8.0704
1391368,7.4679
14031255,2.7913
14031589,7.5525
14031694,5.341
14217053,7.5855
14217087,2.4148
14297829,4.2002
14297833,6.5842
14339513,7.3074
14339536,4.192
1673715,0
2045213,0
2047603,0
2047722,0
2058899,0
2110230,0
2110299,0
10136809,1.3675
10170811,1.9054
10193803,1.9109
10210491,1.9108
10234518,1.4963
10248191,1.4989
10299320,1.5818
10543055,0.8444
10572541,3.5005
10623247,3.5935
10715396,1.4651
10801624,1.9742
10912578,0.1778
10967062,1.2136
11019051,0.2611
11166958,1.3818
11339683,2.8394
11914972,7.5179
12071911,1.9929
13091233,6.4553
13284202,6.5531
13333676,3.4049
14493285,6.1769
14493303,11.5081
14547448,6.9067
14547523,12.0726
14594832,6.1896
14594983,11.1321
14676107,8.4332
10156248,1.9051
14676549,10.7971
14678239,0.1611
14849017,5.5661
14849178,11.6401
14893352,0.3444
14903341,3.0977
14903352,8.4973
14903359,11.2887
14964115,3.982
14964122,8.5082
14964188,11.4538
18006846,3.9782
18006893,8.4908
18006932,11.2804
