,Currency,DailyHigh,DailyHighDate,DailyHighTime,DailyLow,DailyLowDate,DailyLowTime,DailyOpen,DailyOpenDate,DailyOpenTime,LastSale,LastSaleDate,LastSaleSize,LastSaleTime,LastYearClose,LastYearCloseDate,PriceSource,PriceUsedForCalculations,PriceUsedForCalculationsDate,PriceUsedForCalculationsTime,ShortName,Symbol,YearlyHigh,YearlyHighDate,YearlyLow,YearlyLowDate,YieldToMaturity,Valoren
24354752,USD,109.0,11/11/2016,3:24:41 PM,105.787,11/11/2016,9:32:17 AM,105.787,11/11/2016,9:32:17 AM,109.0,11/11/2016,20000,3:24:41 PM,102.142,12/30/2015,FINRA,109.0,11/11/2016,4:26:13 AM,Apple 4.45 % Notes 2014-6.5.44 Sr,AAPL4122386,116.3541,8/23/2016,97.76,2/16/2016,3.9507,24354752
21311603,USD,99.807,11/11/2016,11:57:14 AM,99.807,11/11/2016,11:57:14 AM,99.807,11/11/2016,11:57:14 AM,99.807,11/11/2016,50000,11:57:14 AM,99.258,12/31/2015,FINRA,99.807,11/11/2016,4:26:13 AM,Apple 1 % Notes 2013-3.5.18 Sr,AAPL4001806,101.225,3/16/2016,97.322,9/29/2016,1.1365,21311603
21311621,USD,100.501,11/10/2016,4:27:15 PM,100.249,11/10/2016,2:04:58 PM,100.251,11/10/2016,11:11:14 AM,100.401,11/10/2016,20000,5:20:46 PM,99.78,12/31/2015,FINRA,100.0693,8/1/2016,4:46:18 AM,Apple Notes 2013-3.5.18 Sr Fltg Rt,AAPL4001811,100.842,9/20/2016,98.0,6/17/2016,0.8518,21311621
21311623,USD,100.849,11/10/2016,11:55:59 AM,99.31,11/10/2016,12:07:15 PM,99.884,11/10/2016,5:04:00 AM,99.3658,11/10/2016,439000,5:20:41 PM,98.094,12/31/2015,FINRA,99.3658,11/10/2016,4:26:13 AM,Apple 2.4 % Notes 2013-3.5.23 Sr Global,AAPL4001809,104.604,7/8/2016,95.927,1/29/2016,2.5225,21311623
21311624,USD,99.123,11/10/2016,12:13:52 PM,96.655,11/10/2016,11:06:04 AM,98.3,11/10/2016,7:23:28 AM,97.134,11/10/2016,2000,5:20:42 PM,95.004,12/31/2015,FINRA,97.134,11/10/2016,4:26:13 AM,Apple 3.85 % Notes 2013-4.5.43 Sr,AAPL4001810,107.3617,7/8/2016,88.96,2/17/2016,4.0675,21311624
24354743,USD,100.256,11/10/2016,1:48:19 PM,99.942,11/10/2016,3:41:27 PM,100.097,11/10/2016,7:46:52 AM,99.942,11/10/2016,5000,5:20:54 PM,100.387,12/31/2015,FINRA,99.942,11/10/2016,4:26:13 AM,Apple 1.05 % Notes 2014-5.5.17 Sr,AAPL4122395,101.2075,3/8/2016,98.633,2/11/2016,1.1776,24354743
24354748,USD,102.069,11/10/2016,12:30:46 PM,101.15,11/10/2016,2:47:26 PM,101.666,11/10/2016,9:41:06 AM,101.778,11/10/2016,2000000,5:20:53 PM,101.134,12/31/2015,FINRA,101.778,11/10/2016,4:26:13 AM,Apple 2.1 % Notes 2014-6.5.19 Sr,AAPL4122387,103.753,6/30/2016,100.38,1/27/2016,1.3707,24354748
24354749,USD,102.975,11/11/2016,8:42:49 AM,102.975,11/11/2016,8:42:49 AM,102.975,11/11/2016,8:42:49 AM,102.975,11/11/2016,15000,8:42:49 AM,102.789,12/31/2015,FINRA,102.975,11/11/2016,4:26:13 AM,Apple 2.85 % Notes 2014-6.5.21 Sr,AAPL4122392,107.526,7/6/2016,101.6306,1/27/2016,2.1602,24354749
24354751,USD,106.038,11/10/2016,10:29:52 AM,105.402,11/10/2016,10:06:17 AM,105.634,11/10/2016,8:47:34 AM,105.803,11/10/2016,50000,5:20:52 PM,103.702,12/31/2015,FINRA,105.803,11/10/2016,4:26:13 AM,Apple 3.45 % Notes 2014-6.5.24 Sr,AAPL4122390,111.169,9/7/2016,100.576,1/27/2016,2.6075,24354751
24354753,USD,100.067,10/17/2016,3:06:00 PM,100.0336,10/17/2016,2:39:34 PM,100.0386,10/17/2016,2:39:34 PM,100.067,10/17/2016,340000,5:20:56 PM,99.9594,12/30/2015,FINRA,100.143,8/4/2016,4:44:49 AM,Apple Notes 2014-5.5.17 Sr Fltg Rt,AAPL4122398,100.176,6/21/2016,98.75,4/19/2016,0.0,24354753
