,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.4772,0.3311,0.78,1.0,USD,Valid,1/11/2016,0.0,24.6846,,24.6115,24.1343,24.2804,,24.2804,Success,1.9773,1.3637,,1.0,32346903.0,US17275R1023
212,SplitAndProportionalCashDividend,0.0779,-0.1559,0.78,1.0,USD,Valid,1/12/2016,0.0,24.9037,,24.6894,24.6115,24.3778,,24.8453,Success,0.3165,-0.6275,,1.0,30122412.0,US17275R1023
211,SplitAndProportionalCashDividend,-0.7304,-0.7986,0.78,1.0,USD,Valid,1/13/2016,0.0,24.855,,23.959,24.6894,23.9298,,24.7576,Success,-2.9584,-3.2257,,1.0,33431552.0,US17275R1023
210,SplitAndProportionalCashDividend,0.0584,-0.0292,0.78,1.0,USD,Valid,1/14/2016,0.0,24.2512,,24.0174,23.959,23.8226,,24.0466,Success,0.2437,-0.1214,,1.0,42902408.0,US17275R1023
209,SplitAndProportionalCashDividend,-1.0129,-0.3019,0.78,1.0,USD,Valid,1/15/2016,0.0,23.7934,,23.0045,24.0174,22.9558,,23.3064,Success,-4.2174,-1.2954,,1.0,64092779.0,US17275R1023
208,SplitAndProportionalCashDividend,0.224,0.0487,0.78,1.0,USD,Valid,1/19/2016,0.0,23.4038,,23.2285,23.0045,22.9753,,23.1798,Success,0.9737,0.2101,,1.0,52533544.0,US17275R1023
207,SplitAndProportionalCashDividend,-0.9252,-0.487,0.78,1.0,USD,Valid,1/20/2016,0.0,22.8974,,22.3033,23.2285,21.8845,,22.7903,Success,-3.983,-2.1369,,1.0,83632356.0,US17275R1023
206,SplitAndProportionalCashDividend,0.0,-0.185,0.78,1.0,USD,Valid,1/21/2016,0.0,22.839,,22.3033,22.3033,22.2741,,22.4883,Success,0.0,-0.8227,,1.0,46267871.0,US17275R1023
205,SplitAndProportionalCashDividend,0.4577,-0.224,0.78,1.0,USD,Valid,1/22/2016,0.0,23.024,,22.761,22.3033,22.3909,,22.985,Success,2.0522,-0.9745,,1.0,55049038.0,US17275R1023
204,SplitAndProportionalCashDividend,-0.1948,-0.2046,0.78,1.0,USD,Valid,1/25/2016,0.0,22.9023,,22.5662,22.761,22.537,,22.7708,Success,-0.8558,-0.8985,,1.0,64066120.0,US17275R1023
203,SplitAndProportionalCashDividend,0.5357,0.4675,0.78,1.0,USD,Valid,1/26/2016,0.0,23.2295,,23.1019,22.5662,22.6344,,22.6344,Success,2.3739,2.0654,,1.0,25162200.0,US17275R1023
202,SplitAndProportionalCashDividend,-0.2824,-0.2532,0.78,1.0,USD,Valid,1/27/2016,0.0,23.2772,,22.8195,23.1019,22.688,,23.0727,Success,-1.2224,-1.0974,,1.0,24654015.0,US17275R1023
