,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,-0.9659,-1.2749,2.98,1.0,USD,Valid,1/11/2016,0.0,72.5572,,71.176,72.1419,70.0845,,72.4509,Success,-1.3389,-1.7597,,1.0,21352955.0,US30231G1022
212,SplitAndProportionalCashDividend,1.4585,1.0432,2.98,1.0,USD,Valid,1/12/2016,0.0,72.847,,72.6345,71.176,70.6561,,71.5913,Success,2.0491,1.4572,,1.0,21864130.0,US30231G1022
211,SplitAndProportionalCashDividend,0.4346,-0.1932,2.98,1.0,USD,Valid,1/13/2016,0.0,74.431,,73.0691,72.6345,72.3833,,73.2623,Success,0.5983,-0.2637,,1.0,26052729.0,US30231G1022
210,SplitAndProportionalCashDividend,3.3516,2.8107,2.98,1.0,USD,Valid,1/14/2016,0.0,77.1934,,76.4207,73.0691,73.214,,73.61,Success,4.5869,3.8184,,1.0,33806670.0,US30231G1022
209,SplitAndProportionalCashDividend,-1.4874,1.2074,2.98,1.0,USD,Valid,1/15/2016,0.0,75.5031,,74.9333,76.4207,73.6969,,73.7259,Success,-1.9463,1.6377,,1.0,28342063.0,US30231G1022
208,SplitAndProportionalCashDividend,-1.1398,-1.4778,2.98,1.0,USD,Valid,1/19/2016,0.0,75.5708,,73.7935,74.9333,72.6248,,75.2713,Success,-1.5211,-1.9633,,1.0,22684537.0,US30231G1022
207,SplitAndProportionalCashDividend,-3.1101,-1.8255,2.98,1.0,USD,Valid,1/20/2016,0.0,73.1367,,70.6834,73.7935,69.109,,72.5089,Success,-4.2146,-2.5176,,1.0,33300754.0,US30231G1022
206,SplitAndProportionalCashDividend,0.8886,0.9079,2.98,1.0,USD,Valid,1/21/2016,0.0,72.4316,,71.572,70.6834,70.1328,,70.6641,Success,1.2572,1.2848,,1.0,22265576.0,US30231G1022
205,SplitAndProportionalCashDividend,2.3857,0.1449,2.98,1.0,USD,Valid,1/22/2016,0.0,74.1509,,73.9577,71.572,72.1708,,73.8128,Success,3.3333,0.1963,,1.0,22530323.0,US30231G1022
204,SplitAndProportionalCashDividend,-2.5016,-1.7096,2.98,1.0,USD,Valid,1/25/2016,0.0,73.7356,,71.4561,73.9577,71.3788,,73.1657,Success,-3.3825,-2.3366,,1.0,17086643.0,US30231G1022
203,SplitAndProportionalCashDividend,2.6272,1.8642,2.98,1.0,USD,Valid,1/26/2016,0.0,74.1509,,74.0833,71.4561,71.7169,,72.2191,Success,3.6767,2.5813,,1.0,18724704.0,US30231G1022
202,SplitAndProportionalCashDividend,-1.3619,-0.6858,2.98,1.0,USD,Valid,1/27/2016,0.0,74.8269,,72.7214,74.0833,72.1708,,73.4072,Success,-1.8383,-0.9342,,1.0,18106113.0,US30231G1022
201,SplitAndProportionalCashDividend,1.642,-0.3477,2.98,1.0,USD,Valid,1/28/2016,0.0,75.0105,,74.3634,72.7214,73.0401,,74.7111,Success,2.2579,-0.4654,,1.0,16157715.0,US30231G1022
200,SplitAndProportionalCashDividend,0.8307,1.0818,2.98,1.0,USD,Valid,1/29/2016,0.0,75.1941,,75.1941,74.3634,73.6486,,74.1123,Success,1.1171,1.4597,,1.0,25161887.0,US30231G1022
218,SplitAndProportionalCashDividend,-0.4732,-0.0386,2.98,1.0,USD,Valid,1/4/2016,0.0,75.281,,74.8174,75.2906,73.8467,,74.856,Success,-0.6285,-0.0516,,1.0,20400084.0,US30231G1022
217,SplitAndProportionalCashDividend,0.6374,0.8982,2.98,1.0,USD,Valid,1/5/2016,0.0,75.4742,,75.4548,74.8174,74.298,,74.5566,Success,0.8519,1.2047,,1.0,11993500.0,US30231G1022
216,SplitAndProportionalCashDividend,-0.6278,0.8017,2.98,1.0,USD,Valid,1/6/2016,0.0,74.9912,,74.827,75.4548,73.977,,74.0253,Success,-0.832,1.083,,1.0,18826900.0,US30231G1022
