,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,-0.088,0.0,1.4,1.0,USD,Valid,1/11/2016,0.0,57.9097,,57.5284,57.6164,56.7558,,57.5284,Success,-0.1527,0.0,,1.0,20925529.0,US46625H1005
212,SplitAndProportionalCashDividend,0.1271,-0.4791,1.4,1.0,USD,Valid,1/12/2016,0.0,58.2422,,57.6555,57.5284,56.8145,,58.1346,Success,0.2209,-0.8241,,1.0,22971612.0,US46625H1005
211,SplitAndProportionalCashDividend,-1.5842,-2.0731,1.4,1.0,USD,Valid,1/13/2016,0.0,58.3547,,56.0713,57.6555,55.6508,,58.1444,Success,-2.7477,-3.5654,,1.0,28808129.0,US46625H1005
210,SplitAndProportionalCashDividend,0.841,0.0391,1.4,1.0,USD,Valid,1/14/2016,0.0,58.0662,,56.9123,56.0713,56.0224,,56.8732,Success,1.4999,0.0687,,1.0,31296332.0,US46625H1005
209,SplitAndProportionalCashDividend,-1.1343,0.577,1.4,1.0,USD,Valid,1/15/2016,0.0,56.2962,,55.778,56.9123,54.9761,,55.201,Success,-1.9931,1.0453,,1.0,38131656.0,US46625H1005
208,SplitAndProportionalCashDividend,-0.0294,-0.7041,1.4,1.0,USD,Valid,1/19/2016,0.0,56.6874,,55.7486,55.778,55.2597,,56.4527,Success,-0.0527,-1.2472,,1.0,22818919.0,US46625H1005
207,SplitAndProportionalCashDividend,-1.4668,-0.1174,1.4,1.0,USD,Valid,1/20/2016,0.0,54.937,,54.2818,55.7486,53.4506,,54.3992,Success,-2.6311,-0.2158,,1.0,34646083.0,US46625H1005
206,SplitAndProportionalCashDividend,-0.2542,-0.4791,1.4,1.0,USD,Valid,1/21/2016,0.0,55.2695,,54.0276,54.2818,53.8418,,54.5067,Success,-0.4683,-0.879,,1.0,31301088.0,US46625H1005
205,SplitAndProportionalCashDividend,1.6623,0.4987,1.4,1.0,USD,Valid,1/22/2016,0.0,55.8953,,55.6899,54.0276,55.0543,,55.1912,Success,3.0768,0.9036,,1.0,22732187.0,US46625H1005
204,SplitAndProportionalCashDividend,-1.2614,-0.8018,1.4,1.0,USD,Valid,1/25/2016,0.0,55.5922,,54.4285,55.6899,54.3698,,55.2303,Success,-2.265,-1.4517,,1.0,21114360.0,US46625H1005
203,SplitAndProportionalCashDividend,1.3886,1.2028,1.4,1.0,USD,Valid,1/26/2016,0.0,55.8855,,55.8171,54.4285,54.5752,,54.6143,Success,2.5512,2.2024,,1.0,17535732.0,US46625H1005
202,SplitAndProportionalCashDividend,-0.0391,-0.0391,1.4,1.0,USD,Valid,1/27/2016,0.0,56.9806,,55.778,55.8171,55.3086,,55.8171,Success,-0.0701,-0.0701,,1.0,20559961.0,US46625H1005
201,SplitAndProportionalCashDividend,0.2346,-0.2347,1.4,1.0,USD,Valid,1/28/2016,0.0,56.6874,,56.0126,55.778,55.377,,56.2473,Success,0.4206,-0.4173,,1.0,15497866.0,US46625H1005
200,SplitAndProportionalCashDividend,2.1709,1.633,1.4,1.0,USD,Valid,1/29/2016,0.0,58.2226,,58.1835,56.0126,56.2376,,56.5505,Success,3.8757,2.8877,,1.0,26992199.0,US46625H1005
218,SplitAndProportionalCashDividend,-1.9264,-0.3227,1.4,1.0,USD,Valid,1/4/2016,0.0,62.6426,,62.2124,64.1388,61.6159,,62.5351,Success,-3.0035,-0.516,,1.0,25393155.0,US46625H1005
217,SplitAndProportionalCashDividend,0.1075,0.0293,1.4,1.0,USD,Valid,1/5/2016,0.0,62.7111,,62.3199,62.2124,61.6452,,62.2906,Success,0.1728,0.047,,1.0,16566703.0,US46625H1005
216,SplitAndProportionalCashDividend,-0.8996,0.088,1.4,1.0,USD,Valid,1/6/2016,0.0,61.7283,,61.4203,62.3199,60.9607,,61.3323,Success,-1.4435,0.1435,,1.0,22961532.0,US46625H1005
215,SplitAndProportionalCashDividend,-2.4838,-1.1637,1.4,1.0,USD,Valid,1/7/2016,0.0,60.6282,,58.9365,61.4203,58.7507,,60.1002,Success,-4.0439,-1.9363,,1.0,27630867.0,US46625H1005
214,SplitAndProportionalCashDividend,-1.3201,-2.1611,1.4,1.0,USD,Valid,1/8/2016,0.0,59.9144,,57.6164,58.9365,57.5479,,59.7775,Success,-2.2399,-3.6152,,1.0,22373287.0,US46625H1005
24,SplitAndProportionalCashDividend,0.53,0.3,0.0,1.0,USD,Valid,10/10/2016,0.0,69.06,,68.64,68.11,68.23,,68.34,Success,0.7782,0.439,,1.0,13027466.0,US46625H1005
23,SplitAndProportionalCashDividend,-0.33,-0.19,0.0,1.0,USD,Valid,10/11/2016,0.0,68.82,,68.31,68.64,67.93,,68.5,Success,-0.4808,-0.2774,,1.0,15657104.0,US46625H1005
22,SplitAndProportionalCashDividend,-0.18,-0.13,0.0,1.0,USD,Valid,10/12/2016,0.0,68.59,,68.13,68.31,68.05,,68.26,Success,-0.2635,-0.1904,,1.0,11899831.0,US46625H1005
