,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.166,0.0,1.38,1.0,USD,Valid,1/11/2016,0.0,50.3055,,50.0273,49.8613,49.4026,,50.0273,Success,0.3329,0.0,,1.0,14367379.0,US58933Y1055
212,SplitAndProportionalCashDividend,0.4978,0.244,1.38,1.0,USD,Valid,1/12/2016,0.0,50.8277,,50.5251,50.0273,49.7637,,50.2811,Success,0.9951,0.4853,,1.0,11321002.0,US58933Y1055
211,SplitAndProportionalCashDividend,-1.0737,-1.2201,1.38,1.0,USD,Valid,1/13/2016,0.0,50.818,,49.4514,50.5251,49.3743,,50.6715,Success,-2.1251,-2.4079,,1.0,16546599.0,US58933Y1055
210,SplitAndProportionalCashDividend,1.1128,1.1031,1.38,1.0,USD,Valid,1/14/2016,0.0,50.8668,,50.5642,49.4514,49.383,,49.4611,Success,2.2503,2.2302,,1.0,13568531.0,US58933Y1055
209,SplitAndProportionalCashDividend,-0.6443,0.6247,1.38,1.0,USD,Valid,1/15/2016,0.0,50.0761,,49.9199,50.5642,48.9047,,49.2952,Success,-1.2742,1.2673,,1.0,15490392.0,US58933Y1055
208,SplitAndProportionalCashDividend,0.1952,-0.2538,1.38,1.0,USD,Valid,1/19/2016,0.0,50.6715,,50.1151,49.9199,49.5978,,50.3689,Success,0.391,-0.5039,,1.0,10929459.0,US58933Y1055
207,SplitAndProportionalCashDividend,-0.7711,0.2538,1.38,1.0,USD,Valid,1/20/2016,0.0,49.8028,,49.344,50.1151,48.1238,,49.0902,Success,-1.5387,0.517,,1.0,15920438.0,US58933Y1055
206,SplitAndProportionalCashDividend,0.3612,0.1367,1.38,1.0,USD,Valid,1/21/2016,0.0,50.0956,,49.7052,49.344,48.895,,49.5685,Success,0.732,0.2758,,1.0,11927519.0,US58933Y1055
205,SplitAndProportionalCashDividend,0.4197,-0.0879,1.38,1.0,USD,Valid,1/22/2016,0.0,50.5056,,50.1249,49.7052,49.7344,,50.2128,Success,0.8444,-0.1751,,1.0,10812785.0,US58933Y1055
204,SplitAndProportionalCashDividend,-0.4197,-0.4197,1.38,1.0,USD,Valid,1/25/2016,0.0,50.2128,,49.7052,50.1249,49.55,,50.1249,Success,-0.8373,-0.8373,,1.0,9280537.0,US58933Y1055
203,SplitAndProportionalCashDividend,0.5173,0.3904,1.38,1.0,USD,Valid,1/26/2016,0.0,50.3689,,50.2225,49.7052,49.549,,49.8321,Success,1.0407,0.7834,,1.0,9017538.0,US58933Y1055
202,SplitAndProportionalCashDividend,-1.0542,-0.2831,1.38,1.0,USD,Valid,1/27/2016,0.0,50.3348,,49.1683,50.2225,48.6412,,49.4514,Success,-2.0991,-0.5725,,1.0,13119103.0,US58933Y1055
201,SplitAndProportionalCashDividend,-1.1421,-1.103,1.38,1.0,USD,Valid,1/28/2016,0.0,49.3342,,48.0262,49.1683,47.8114,,49.1292,Success,-2.3228,-2.2451,,1.0,18126912.0,US58933Y1055
200,SplitAndProportionalCashDividend,1.4349,0.8492,1.38,1.0,USD,Valid,1/29/2016,0.0,49.4611,,49.4611,48.0262,48.3971,,48.6119,Success,2.9877,1.7469,,1.0,16922745.0,US58933Y1055
218,SplitAndProportionalCashDividend,-0.3319,0.4587,1.38,1.0,USD,Valid,1/4/2016,0.0,51.3548,,51.2279,51.5598,50.3787,,50.7692,Success,-0.6437,0.9035,,1.0,17174551.0,US58933Y1055
217,SplitAndProportionalCashDividend,0.6541,0.3514,1.38,1.0,USD,Valid,1/5/2016,0.0,52.1929,,51.882,51.2279,51.4134,,51.5306,Success,1.2768,0.6819,,1.0,11075455.0,US58933Y1055
