,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.0675,-0.0771,1.2,1.0,USD,Valid,1/11/2016,0.0,30.0631,,29.9378,29.8703,29.5235,,30.0149,Success,0.226,-0.2569,,1.0,38631767.0,US7170811035
212,SplitAndProportionalCashDividend,-0.0675,-0.3662,1.2,1.0,USD,Valid,1/12/2016,0.0,30.3521,,29.8703,29.9378,29.6044,,30.2365,Success,-0.2255,-1.2111,,1.0,38830184.0,US7170811035
211,SplitAndProportionalCashDividend,-0.607,-0.6938,1.2,1.0,USD,Valid,1/13/2016,0.0,30.1401,,29.2633,29.8703,29.1669,,29.9571,Success,-2.0321,-2.316,,1.0,40571977.0,US7170811035
210,SplitAndProportionalCashDividend,0.713,0.6937,1.2,1.0,USD,Valid,1/14/2016,0.0,30.275,,29.9763,29.2633,29.2826,,29.2826,Success,2.4365,2.369,,1.0,38522829.0,US7170811035
209,SplitAndProportionalCashDividend,-0.289,0.5685,1.2,1.0,USD,Valid,1/15/2016,0.0,29.6969,,29.6873,29.9763,29.0995,,29.1188,Success,-0.9641,1.9523,,1.0,46773503.0,US7170811035
208,SplitAndProportionalCashDividend,-0.1157,-0.4144,1.2,1.0,USD,Valid,1/19/2016,0.0,30.092,,29.5716,29.6873,29.2248,,29.986,Success,-0.3897,-1.382,,1.0,32740269.0,US7170811035
207,SplitAndProportionalCashDividend,-0.0289,0.4336,1.2,1.0,USD,Valid,1/20/2016,0.0,29.9378,,29.5427,29.5716,28.9646,,29.1091,Success,-0.0977,1.4896,,1.0,49470839.0,US7170811035
206,SplitAndProportionalCashDividend,-0.077,-0.0289,1.2,1.0,USD,Valid,1/21/2016,0.0,29.774,,29.4657,29.5427,29.3982,,29.4946,Success,-0.2606,-0.098,,1.0,36554638.0,US7170811035
205,SplitAndProportionalCashDividend,0.1252,-0.2794,1.2,1.0,USD,Valid,1/22/2016,0.0,30.1112,,29.5909,29.4657,29.5524,,29.8703,Success,0.4249,-0.9354,,1.0,31444403.0,US7170811035
204,SplitAndProportionalCashDividend,-0.2023,-0.3179,1.2,1.0,USD,Valid,1/25/2016,0.0,29.7836,,29.3886,29.5909,29.3115,,29.7065,Success,-0.6837,-1.0701,,1.0,28760238.0,US7170811035
203,SplitAndProportionalCashDividend,0.1638,0.1349,1.2,1.0,USD,Valid,1/26/2016,0.0,29.6295,,29.5524,29.3886,29.2296,,29.4175,Success,0.5574,0.4586,,1.0,25959033.0,US7170811035
202,SplitAndProportionalCashDividend,-0.1446,-0.1831,1.2,1.0,USD,Valid,1/27/2016,0.0,29.88,,29.4078,29.5524,29.2151,,29.5909,Success,-0.4893,-0.6188,,1.0,28519054.0,US7170811035
