,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.7865,0.3146,1.95,1.0,USD,Valid,1/11/2016,0.0,105.4677,,104.986,104.1995,103.8358,,104.6714,Success,0.7548,0.3006,,1.0,1549828.0,US89417E1091
212,SplitAndProportionalCashDividend,1.1699,0.2851,1.95,1.0,USD,Valid,1/12/2016,0.0,106.3722,,106.1559,104.986,104.7894,,105.8708,Success,1.1143,0.2693,,1.0,2116010.0,US89417E1091
211,SplitAndProportionalCashDividend,-1.8876,-2.1727,1.95,1.0,USD,Valid,1/13/2016,0.0,106.9915,,104.2683,106.1559,104.0422,,106.441,Success,-1.7781,-2.0412,,1.0,2881368.0,US89417E1091
210,SplitAndProportionalCashDividend,0.9045,1.0224,1.95,1.0,USD,Valid,1/14/2016,0.0,106.1854,,105.1728,104.2683,104.0422,,104.1504,Success,0.8675,0.9817,,1.0,1919027.0,US89417E1091
209,SplitAndProportionalCashDividend,-1.8482,1.7893,1.95,1.0,USD,Valid,1/15/2016,0.0,103.9439,,103.3246,105.1728,101.5353,,101.5353,Success,-1.7573,1.7622,,1.0,2532432.0,US89417E1091
208,SplitAndProportionalCashDividend,0.6488,-0.8357,1.95,1.0,USD,Valid,1/19/2016,0.0,104.868,,103.9734,103.3246,103.5015,,104.8091,Success,0.6279,-0.7974,,1.0,2459588.0,US89417E1091
207,SplitAndProportionalCashDividend,-2.0743,-1.219,1.95,1.0,USD,Valid,1/20/2016,0.0,103.1771,,101.8991,103.9734,100.9454,,103.1181,Success,-1.995,-1.1821,,1.0,3320414.0,US89417E1091
206,SplitAndProportionalCashDividend,-0.934,-1.1404,1.95,1.0,USD,Valid,1/21/2016,0.0,103.3246,,100.9651,101.8991,99.5199,,102.1055,Success,-0.9166,-1.1169,,1.0,3183963.0,US89417E1091
205,SplitAndProportionalCashDividend,0.4326,-0.4817,1.95,1.0,USD,Valid,1/22/2016,0.0,102.1448,,101.3977,100.9651,100.3556,,101.8794,Success,0.4285,-0.4728,,1.0,2483713.0,US89417E1091
204,SplitAndProportionalCashDividend,-1.0421,-0.4424,1.95,1.0,USD,Valid,1/25/2016,0.0,101.6533,,100.3556,101.3977,99.8345,,100.798,Success,-1.0277,-0.4389,,1.0,2930028.0,US89417E1091
203,SplitAndProportionalCashDividend,1.1502,0.9733,1.95,1.0,USD,Valid,1/26/2016,0.0,102.2431,,101.5058,100.3556,100.4539,,100.5325,Success,1.1461,0.9681,,1.0,2018855.0,US89417E1091
202,SplitAndProportionalCashDividend,0.059,0.2359,1.95,1.0,USD,Valid,1/27/2016,0.0,102.9805,,101.5648,101.5058,100.9946,,101.3289,Success,0.0581,0.2328,,1.0,1694543.0,US89417E1091
201,SplitAndProportionalCashDividend,1.1404,0.6685,1.95,1.0,USD,Valid,1/28/2016,0.0,103.0463,,102.7052,101.5648,101.2994,,102.0367,Success,1.1228,0.6552,,1.0,1391489.0,US89417E1091
200,SplitAndProportionalCashDividend,2.5266,1.7303,1.95,1.0,USD,Valid,1/29/2016,0.0,105.2613,,105.2318,102.7052,103.1968,,103.5015,Success,2.4601,1.6718,,1.0,2195908.0,US89417E1091
218,SplitAndProportionalCashDividend,-2.8412,-0.7275,1.95,1.0,USD,Valid,1/4/2016,0.0,109.0856,,108.1123,110.9535,106.8932,,108.8398,Success,-2.5607,-0.6684,,1.0,2845969.0,US89417E1091
217,SplitAndProportionalCashDividend,0.4915,0.5407,1.95,1.0,USD,Valid,1/5/2016,0.0,108.8595,,108.6038,108.1123,107.6896,,108.0631,Success,0.4546,0.5004,,1.0,1870428.0,US89417E1091
216,SplitAndProportionalCashDividend,-1.4058,-0.2949,1.95,1.0,USD,Valid,1/6/2016,0.0,107.9353,,107.198,108.6038,106.7359,,107.4929,Success,-1.2944,-0.2743,,1.0,1730884.0,US89417E1091
215,SplitAndProportionalCashDividend,-2.5561,-1.0421,1.95,1.0,USD,Valid,1/7/2016,0.0,106.6081,,104.6419,107.198,104.2388,,105.684,Success,-2.3845,-0.9861,,1.0,2284352.0,US89417E1091
214,SplitAndProportionalCashDividend,-0.4424,-1.0028,1.95,1.0,USD,Valid,1/8/2016,0.0,105.625,,104.1995,104.6419,104.0422,,105.2023,Success,-0.4228,-0.9532,,1.0,1984471.0,US89417E1091
24,SplitAndProportionalCashDividend,0.61,0.2,0.0,1.0,USD,Valid,10/10/2016,0.0,115.47,,115.14,114.53,114.63,,114.94,Success,0.5326,0.174,,1.0,803592.0,US89417E1091
23,SplitAndProportionalCashDividend,-1.14,-0.48,0.0,1.0,USD,Valid,10/11/2016,0.0,114.8686,,114.0,115.14,113.67,,114.48,Success,-0.9901,-0.4193,,1.0,1180736.0,US89417E1091
22,SplitAndProportionalCashDividend,1.35,1.43,0.0,1.0,USD,Valid,10/12/2016,0.0,115.53,,115.35,114.0,113.73,,113.92,Success,1.1842,1.2553,,1.0,1468104.0,US89417E1091
21,SplitAndProportionalCashDividend,-0.29,0.07,0.0,1.0,USD,Valid,10/13/2016,0.0,115.31,,115.06,115.35,114.15,,114.99,Success,-0.2514,0.0609,,1.0,1237549.0,US89417E1091
20,SplitAndProportionalCashDividend,0.02,-0.76,0.0,1.0,USD,Valid,10/14/2016,0.0,116.2,,115.08,115.06,115.08,,115.84,Success,0.0174,-0.6561,,1.0,1350619.0,US89417E1091
19,SplitAndProportionalCashDividend,-0.1,-0.02,0.0,1.0,USD,Valid,10/17/2016,0.0,115.43,,114.98,115.08,114.72,,115.0,Success,-0.0869,-0.0174,,1.0,1349961.0,US89417E1091
18,SplitAndProportionalCashDividend,0.2,-0.96,0.0,1.0,USD,Valid,10/18/2016,0.0,116.19,,115.18,114.98,114.99,,116.14,Success,0.1739,-0.8266,,1.0,1454045.0,US89417E1091
17,SplitAndProportionalCashDividend,1.05,0.57,0.0,1.0,USD,Valid,10/19/2016,0.0,116.91,,116.23,115.18,115.12,,115.66,Success,0.9116,0.4928,,1.0,2728791.0,US89417E1091
16,SplitAndProportionalCashDividend,-6.71,-3.31,0.0,1.0,USD,Valid,10/20/2016,0.0,113.51,,109.52,116.23,109.25,,112.83,Success,-5.773,-2.9336,,1.0,4606513.0,US89417E1091
15,SplitAndProportionalCashDividend,-1.17,-0.18,0.0,1.0,USD,Valid,10/21/2016,0.0,109.22,,108.35,109.52,106.86,,108.53,Success,-1.0683,-0.1659,,1.0,3768289.0,US89417E1091
14,SplitAndProportionalCashDividend,0.72,-0.03,0.0,1.0,USD,Valid,10/24/2016,0.0,109.475,,109.07,108.35,108.83,,109.1,Success,0.6645,-0.0275,,1.0,2524826.0,US89417E1091
13,SplitAndProportionalCashDividend,-0.04,-0.33,0.0,1.0,USD,Valid,10/25/2016,0.0,109.9,,109.03,109.07,108.77,,109.36,Success,-0.0367,-0.3018,,1.0,2569774.0,US89417E1091
12,SplitAndProportionalCashDividend,-0.21,0.09,0.0,1.0,USD,Valid,10/26/2016,0.0,109.33,,108.82,109.03,108.04,,108.73,Success,-0.1926,0.0828,,1.0,2644584.0,US89417E1091
11,SplitAndProportionalCashDividend,-0.8,-1.3,0.0,1.0,USD,Valid,10/27/2016,0.0,109.32,,108.02,108.82,107.97,,109.32,Success,-0.7352,-1.1892,,1.0,2545986.0,US89417E1091
10,SplitAndProportionalCashDividend,0.41,-0.17,0.0,1.0,USD,Valid,10/28/2016,0.0,109.03,,108.43,108.02,107.59,,108.6,Success,0.3796,-0.1565,,1.0,2245084.0,US89417E1091
29,SplitAndProportionalCashDividend,-1.55,-1.27,0.0,1.0,USD,Valid,10/3/2016,0.0,114.42,,113.0,114.55,112.6,,114.27,Success,-1.3531,-1.1114,,1.0,1234620.0,US89417E1091
9,SplitAndProportionalCashDividend,-0.25,-0.75,0.0,1.0,USD,Valid,10/31/2016,0.0,109.02,,108.18,108.43,107.88,,108.93,Success,-0.2306,-0.6885,,1.0,2162143.0,US89417E1091
28,SplitAndProportionalCashDividend,-0.68,-0.99,0.0,1.0,USD,Valid,10/4/2016,0.0,113.31,,112.32,113.0,111.27,,113.31,Success,-0.6018,-0.8737,,1.0,1532680.0,US89417E1091
27,SplitAndProportionalCashDividend,0.78,0.16,0.0,1.0,USD,Valid,10/5/2016,0.0,113.51,,113.1,112.32,112.49,,112.94,Success,0.6944,0.1417,,1.0,1098659.0,US89417E1091
26,SplitAndProportionalCashDividend,0.08,-0.01,0.0,1.0,USD,Valid,10/6/2016,0.0,113.43,,113.18,113.1,112.11,,113.19,Success,0.0707,-0.0088,,1.0,1336523.0,US89417E1091
25,SplitAndProportionalCashDividend,1.35,0.76,0.0,1.0,USD,Valid,10/7/2016,0.0,114.85,,114.53,113.18,113.515,,113.77,Success,1.1928,0.668,,1.0,1604520.0,US89417E1091
8,SplitAndProportionalCashDividend,-1.94,-2.36,0.0,1.0,USD,Valid,11/1/2016,0.0,108.6,,106.24,108.18,106.02,,108.6,Success,-1.7933,-2.1731,,1.0,2564616.0,US89417E1091
1,SplitAndProportionalCashDividend,2.68,2.32,0.0,1.0,USD,Valid,11/10/2016,0.0,109.79,,109.62,106.94,106.64,,107.3,Success,2.5061,2.1622,,1.0,2748905.0,US89417E1091
253,SplitAndProportionalCashDividend,0.3227,0.0684,2.56,1.0,USD,Valid,11/11/2015,0.0,112.2351,,111.8439,111.5212,111.3257,,111.7755,Success,0.2894,0.0612,,1.0,1226289.0,US89417E1091
0,SplitAndProportionalCashDividend,0.66,0.8,0.0,1.0,USD,Valid,11/11/2016,0.0,110.58,,110.28,109.62,109.1,,109.48,Success,0.6021,0.7307,,1.0,1962328.0,US89417E1091
252,SplitAndProportionalCashDividend,-2.0241,-1.4863,2.56,1.0,USD,Valid,11/12/2015,0.0,111.6581,,109.8198,111.8439,109.7709,,111.3061,Success,-1.8098,-1.3353,,1.0,1939643.0,US89417E1091
251,SplitAndProportionalCashDividend,-0.3031,-0.352,2.56,1.0,USD,Valid,11/13/2015,0.0,110.4065,,109.5167,109.8198,109.3505,,109.8687,Success,-0.276,-0.3204,,1.0,2043635.0,US89417E1091
250,SplitAndProportionalCashDividend,0.8703,1.017,2.56,1.0,USD,Valid,11/16/2015,0.0,110.4065,,110.387,109.5167,109.1451,,109.37,Success,0.7947,0.9299,,1.0,1653536.0,US89417E1091
249,SplitAndProportionalCashDividend,-0.1467,-0.0684,2.56,1.0,USD,Valid,11/17/2015,0.0,110.9345,,110.2403,110.387,109.9372,,110.3087,Success,-0.1329,-0.062,,1.0,1568977.0,US89417E1091
248,SplitAndProportionalCashDividend,1.897,1.7992,2.56,1.0,USD,Valid,11/18/2015,0.0,112.2448,,112.1373,110.2403,110.2501,,110.3381,Success,1.7208,1.6306,,1.0,1688316.0,US89417E1091
247,SplitAndProportionalCashDividend,0.3324,0.1662,2.56,1.0,USD,Valid,11/19/2015,0.0,112.7435,,112.4697,112.1373,111.5995,,112.3035,Success,0.2964,0.148,,1.0,1067986.0,US89417E1091
7,SplitAndProportionalCashDividend,-0.62,-0.66,0.0,1.0,USD,Valid,11/2/2016,0.0,106.59,,105.62,106.24,105.35,,106.28,Success,-0.5836,-0.621,,1.0,1718577.0,US89417E1091
