,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,-0.5723,-0.9177,1.75,1.0,USD,Valid,1/11/2016,0.0,109.1619,,108.1356,108.7079,106.7684,,109.0533,Success,-0.5265,-0.8415,,1.0,4525815.0,US91324P1021
212,SplitAndProportionalCashDividend,2.6447,1.875,1.75,1.0,USD,Valid,1/12/2016,0.0,111.6388,,110.7803,108.1356,108.5994,,108.9053,Success,2.4457,1.7217,,1.0,4037787.0,US91324P1021
211,SplitAndProportionalCashDividend,-2.9901,-3.1381,1.75,1.0,USD,Valid,1/13/2016,0.0,111.545,,107.7902,110.7803,107.4942,,110.9283,Success,-2.6991,-2.8289,,1.0,3434267.0,US91324P1021
210,SplitAndProportionalCashDividend,1.5098,1.9933,1.75,1.0,USD,Valid,1/14/2016,0.0,110.3263,,109.3,107.7902,106.0929,,107.3067,Success,1.4007,1.8576,,1.0,4238172.0,US91324P1021
209,SplitAndProportionalCashDividend,-1.4703,0.1875,1.75,1.0,USD,Valid,1/15/2016,0.0,109.1915,,107.8297,109.3,106.3702,,107.6422,Success,-1.3452,0.1742,,1.0,6356960.0,US91324P1021
208,SplitAndProportionalCashDividend,3.2663,1.0756,1.75,1.0,USD,Valid,1/19/2016,0.0,112.6552,,111.096,107.8297,108.1553,,110.0204,Success,3.0291,0.9776,,1.0,7122750.0,US91324P1021
207,SplitAndProportionalCashDividend,2.1809,2.6644,1.75,1.0,USD,Valid,1/20/2016,0.0,114.2144,,113.2769,111.096,108.6981,,110.6125,Success,1.9631,2.4088,,1.0,8380650.0,US91324P1021
206,SplitAndProportionalCashDividend,-1.273,-1.1546,1.75,1.0,USD,Valid,1/21/2016,0.0,113.9578,,112.0039,113.2769,110.7803,,113.1585,Success,-1.1238,-1.0203,,1.0,5413940.0,US91324P1021
205,SplitAndProportionalCashDividend,0.8191,-0.3355,1.75,1.0,USD,Valid,1/22/2016,0.0,113.6322,,112.823,112.0039,112.3888,,113.1585,Success,0.7313,-0.2965,,1.0,3622152.0,US91324P1021
204,SplitAndProportionalCashDividend,-0.9375,-1.125,1.75,1.0,USD,Valid,1/25/2016,0.0,113.7901,,111.8855,112.823,111.3625,,113.0105,Success,-0.8309,-0.9955,,1.0,2908450.0,US91324P1021
203,SplitAndProportionalCashDividend,0.5723,1.0361,1.75,1.0,USD,Valid,1/26/2016,0.0,112.6749,,112.4578,111.8855,110.2868,,111.4217,Success,0.5115,0.9299,,1.0,4593248.0,US91324P1021
202,SplitAndProportionalCashDividend,-1.6085,-2.0724,1.75,1.0,USD,Valid,1/27/2016,0.0,113.2966,,110.8493,112.4578,110.3658,,112.9217,Success,-1.4303,-1.8353,,1.0,4720294.0,US91324P1021
201,SplitAndProportionalCashDividend,-0.9374,-0.898,1.75,1.0,USD,Valid,1/28/2016,0.0,111.7572,,109.9119,110.8493,109.152,,110.8099,Success,-0.8457,-0.8104,,1.0,3525571.0,US91324P1021
200,SplitAndProportionalCashDividend,3.7301,3.1874,1.75,1.0,USD,Valid,1/29/2016,0.0,113.642,,113.642,109.9119,109.1619,,110.4546,Success,3.3937,2.8857,,1.0,5280844.0,US91324P1021
218,SplitAndProportionalCashDividend,-1.1644,-0.4441,1.75,1.0,USD,Valid,1/4/2016,0.0,115.369,,114.9249,116.0893,113.0154,,115.369,Success,-1.003,-0.3849,,1.0,4990955.0,US91324P1021
217,SplitAndProportionalCashDividend,0.2171,-0.0395,1.75,1.0,USD,Valid,1/5/2016,0.0,116.336,,115.142,114.9249,114.6782,,115.1815,Success,0.1889,-0.0343,,1.0,2816752.0,US91324P1021
216,SplitAndProportionalCashDividend,-1.1743,-0.2862,1.75,1.0,USD,Valid,1/6/2016,0.0,115.1124,,113.9677,115.142,112.9907,,114.2539,Success,-1.0199,-0.2505,,1.0,2677303.0,US91324P1021
215,SplitAndProportionalCashDividend,-3.3552,-1.5197,1.75,1.0,USD,Valid,1/7/2016,0.0,112.5861,,110.6125,113.9677,109.9513,,112.1322,Success,-2.944,-1.3553,,1.0,5277249.0,US91324P1021
214,SplitAndProportionalCashDividend,-1.9046,-2.1612,1.75,1.0,USD,Valid,1/8/2016,0.0,111.5105,,108.7079,110.6125,108.3132,,110.8691,Success,-1.7219,-1.9493,,1.0,4422365.0,US91324P1021
24,SplitAndProportionalCashDividend,1.42,1.11,0.0,1.0,USD,Valid,10/10/2016,0.0,138.35,,138.08,136.66,136.97,,136.97,Success,1.0391,0.8104,,1.0,2585956.0,US91324P1021
23,SplitAndProportionalCashDividend,-3.33,-2.57,0.0,1.0,USD,Valid,10/11/2016,0.0,137.69,,134.75,138.08,134.37,,137.32,Success,-2.4116,-1.8715,,1.0,3353588.0,US91324P1021
22,SplitAndProportionalCashDividend,0.35,0.12,0.0,1.0,USD,Valid,10/12/2016,0.0,135.72,,135.1,134.75,133.64,,134.98,Success,0.2597,0.0889,,1.0,4287909.0,US91324P1021
21,SplitAndProportionalCashDividend,-0.91,-0.46,0.0,1.0,USD,Valid,10/13/2016,0.0,134.65,,134.19,135.1,133.61,,134.65,Success,-0.6736,-0.3416,,1.0,3425680.0,US91324P1021
