,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.2518,-0.0194,1.708,1.0,USD,Valid,1/11/2016,0.0,43.811,,43.6754,43.4236,43.2032,,43.6948,Success,0.5799,-0.0444,,1.0,14226177.0,US92343V1044
212,SplitAndProportionalCashDividend,-0.155,-0.3003,1.708,1.0,USD,Valid,1/12/2016,0.0,43.8304,,43.5204,43.6754,43.133,,43.8207,Success,-0.3549,-0.6853,,1.0,15123033.0,US92343V1044
211,SplitAndProportionalCashDividend,-0.7555,-0.9299,1.708,1.0,USD,Valid,1/13/2016,0.0,43.8498,,42.7649,43.5204,42.6971,,43.6948,Success,-1.736,-2.1282,,1.0,19291024.0,US92343V1044
210,SplitAndProportionalCashDividend,0.6974,0.6296,1.708,1.0,USD,Valid,1/14/2016,0.0,43.7723,,43.4623,42.7649,42.668,,42.8327,Success,1.6308,1.4699,,1.0,18434980.0,US92343V1044
209,SplitAndProportionalCashDividend,-0.4262,0.3778,1.708,1.0,USD,Valid,1/15/2016,0.0,43.1523,,43.0361,43.4623,42.484,,42.6583,Success,-0.9806,0.8856,,1.0,27993928.0,US92343V1044
208,SplitAndProportionalCashDividend,0.4262,0.1259,1.708,1.0,USD,Valid,1/19/2016,0.0,43.5979,,43.4623,43.0361,43.133,,43.3364,Success,0.9903,0.2905,,1.0,20364282.0,US92343V1044
207,SplitAndProportionalCashDividend,-0.4359,0.0387,1.708,1.0,USD,Valid,1/20/2016,0.0,43.3654,,43.0264,43.4623,42.4162,,42.9877,Success,-1.0029,0.09,,1.0,28290160.0,US92343V1044
206,SplitAndProportionalCashDividend,1.4045,0.8427,1.708,1.0,USD,Valid,1/21/2016,0.0,44.8765,,44.4309,43.0264,43.0361,,43.5882,Success,3.2643,1.9333,,1.0,31354119.0,US92343V1044
205,SplitAndProportionalCashDividend,1.1333,0.6102,1.708,1.0,USD,Valid,1/22/2016,0.0,45.6417,,45.5642,44.4309,44.5568,,44.954,Success,2.5507,1.3574,,1.0,23075653.0,US92343V1044
204,SplitAndProportionalCashDividend,-0.0097,-0.0485,1.708,1.0,USD,Valid,1/25/2016,0.0,46.281,,45.5545,45.5642,45.0799,,45.603,Success,-0.0213,-0.1064,,1.0,24298809.0,US92343V1044
203,SplitAndProportionalCashDividend,1.1818,1.0849,1.708,1.0,USD,Valid,1/26/2016,0.0,46.7508,,46.7363,45.5545,45.5739,,45.6514,Success,2.5943,2.3765,,1.0,22620922.0,US92343V1044
202,SplitAndProportionalCashDividend,0.7555,0.7168,1.708,1.0,USD,Valid,1/27/2016,0.0,47.9374,,47.4918,46.7363,46.7363,,46.775,Success,1.6165,1.5324,,1.0,33795701.0,US92343V1044
201,SplitAndProportionalCashDividend,-0.0194,-0.0484,1.708,1.0,USD,Valid,1/28/2016,0.0,47.9083,,47.4724,47.4918,46.9494,,47.5208,Success,-0.0408,-0.1019,,1.0,20085169.0,US92343V1044
200,SplitAndProportionalCashDividend,0.9299,0.5618,1.708,1.0,USD,Valid,1/29/2016,0.0,48.4217,,48.4023,47.4724,47.6758,,47.8405,Success,1.9588,1.1743,,1.0,29082619.0,US92343V1044
218,SplitAndProportionalCashDividend,-0.3349,0.1914,2.272,1.0,USD,Valid,1/4/2016,0.0,43.9246,,43.8911,44.226,43.4031,,43.6997,Success,-0.7572,0.438,,1.0,17821603.0,US92343V1044
217,SplitAndProportionalCashDividend,0.6028,0.2871,2.272,1.0,USD,Valid,1/5/2016,0.0,44.5417,,44.4939,43.8911,43.6614,,44.2068,Success,1.3734,0.6494,,1.0,15632848.0,US92343V1044
216,SplitAndProportionalCashDividend,-0.402,0.0291,1.708,1.0,USD,Valid,1/6/2016,0.0,44.5084,,44.0919,44.4939,43.8594,,44.0628,Success,-0.9035,0.066,,1.0,19082706.0,US92343V1044
215,SplitAndProportionalCashDividend,-0.2421,0.1453,1.708,1.0,USD,Valid,1/7/2016,0.0,44.2372,,43.8498,44.0919,43.5882,,43.7045,Success,-0.5491,0.3325,,1.0,19277584.0,US92343V1044
214,SplitAndProportionalCashDividend,-0.4262,-0.8039,1.708,1.0,USD,Valid,1/8/2016,0.0,44.305,,43.4236,43.8498,43.2976,,44.2275,Success,-0.972,-1.8176,,1.0,16594793.0,US92343V1044
24,SplitAndProportionalCashDividend,0.27,-0.04,0.0,1.0,USD,Valid,10/10/2016,0.0,50.3,,50.19,49.92,49.63,,50.23,Success,0.5409,-0.0796,,1.0,10687665.0,US92343V1044
23,SplitAndProportionalCashDividend,-0.29,-0.2,0.0,1.0,USD,Valid,10/11/2016,0.0,50.21,,49.9,50.19,49.65,,50.1,Success,-0.5778,-0.3992,,1.0,11737902.0,US92343V1044
22,SplitAndProportionalCashDividend,0.4,0.34,0.0,1.0,USD,Valid,10/12/2016,0.0,50.48,,50.3,49.9,49.94,,49.96,Success,0.8016,0.6805,,1.0,8880127.0,US92343V1044
21,SplitAndProportionalCashDividend,-0.01,0.06,0.0,1.0,USD,Valid,10/13/2016,0.0,50.41,,50.29,50.3,49.82,,50.23,Success,-0.0199,0.1195,,1.0,11156909.0,US92343V1044
20,SplitAndProportionalCashDividend,-0.01,-0.06,0.0,1.0,USD,Valid,10/14/2016,0.0,50.61,,50.28,50.29,50.27,,50.34,Success,-0.0199,-0.1192,,1.0,8853208.0,US92343V1044
