,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,1.0344,0.8056,0.42,1.0,USD,Valid,1/11/2016,0.0,73.6756,,73.5165,72.4821,72.2633,,72.7109,Success,1.4271,1.1079,,1.0,13069486.0,US92826C8394
212,SplitAndProportionalCashDividend,0.8354,0.2387,0.42,1.0,USD,Valid,1/12/2016,0.0,74.5906,,74.3519,73.5165,73.6159,,74.1132,Success,1.1363,0.3221,,1.0,10236921.0,US92826C8394
211,SplitAndProportionalCashDividend,-1.651,-2.1582,0.42,1.0,USD,Valid,1/13/2016,0.0,74.9784,,72.7009,74.3519,72.5915,,74.8591,Success,-2.2205,-2.883,,1.0,12659586.0,US92826C8394
210,SplitAndProportionalCashDividend,0.6962,0.6464,0.42,1.0,USD,Valid,1/14/2016,0.0,74.1132,,73.3971,72.7009,72.2633,,72.7507,Success,0.9576,0.8885,,1.0,10426162.0,US92826C8394
209,SplitAndProportionalCashDividend,-1.9592,-0.1094,0.42,1.0,USD,Valid,1/15/2016,0.0,72.5517,,71.4379,73.3971,70.2742,,71.5473,Success,-2.6693,-0.1529,,1.0,18470454.0,US92826C8394
208,SplitAndProportionalCashDividend,-0.4376,-1.5415,0.42,1.0,USD,Valid,1/19/2016,0.0,72.6214,,71.0003,71.4379,70.2742,,72.5418,Success,-0.6126,-2.125,,1.0,16009579.0,US92826C8394
207,SplitAndProportionalCashDividend,-0.7062,0.716,0.42,1.0,USD,Valid,1/20/2016,0.0,71.0202,,70.2941,71.0003,68.6631,,69.5781,Success,-0.9946,1.0291,,1.0,16586004.0,US92826C8394
206,SplitAndProportionalCashDividend,0.8752,0.8354,0.42,1.0,USD,Valid,1/21/2016,0.0,71.9351,,71.1693,70.2941,69.7173,,70.3339,Success,1.2451,1.1878,,1.0,11931171.0,US92826C8394
205,SplitAndProportionalCashDividend,1.1338,0.0298,0.42,1.0,USD,Valid,1/22/2016,0.0,72.7805,,72.3031,71.1693,71.7362,,72.2733,Success,1.5931,0.0412,,1.0,8652558.0,US92826C8394
204,SplitAndProportionalCashDividend,-0.9547,-1.0144,0.42,1.0,USD,Valid,1/25/2016,0.0,72.512,,71.3484,72.3031,71.1892,,72.3628,Success,-1.3204,-1.4018,,1.0,9126184.0,US92826C8394
