ClientID,InstrumentID,Quantity,AssetClass
c120,1441554,9000000,Bond
c120,10543040,6000000,Bond
c120,20711163,6000000,Bond
c120,21007167,9000000,Bond
c120,21959199,5000000,Bond
c120,26210603,10000000,Bond
c120,27108965,4000000,Bond
c120,27763990,7000000,Bond
c120,29435621,6000000,Bond
c120,31402422,7000000,Bond
c120,31792273,2000000,Bond
c120,31792276,3000000,Bond
c120,34518894,10000000,Bond
c120,Cash,6597996,Cash
c120,US17275R1023,2461,Stock
c120,US2546871060,7668,Stock
c120,US30231G1022,4132,Stock
c120,US3696041033,5110,Stock
c120,US4370761029,2949,Stock
c120,US46625H1005,9373,Stock
c120,US58933Y1055,9231,Stock
c120,US7427181091,4528,Stock
c120,US88579Y1010,533,Stock
c120,US91324P1021,3834,Stock
c121,Cash,100000000,Cash
c122,12892610,10000000,Bond
c122,21497136,10000000,Bond
c122,22161781,8000000,Bond
c122,22447666,5000000,Bond
c122,27035858,5000000,Bond
c122,27389956,1000000,Bond
c122,27633607,4000000,Bond
c122,28202463,8000000,Bond
c122,28511162,2000000,Bond
c122,29275049,1000000,Bond
c122,29977462,9000000,Bond
c122,32158544,8000000,Bond
c122,Cash,1508126,Cash
c122,US0970231058,690350,Stock
c122,US1491231015,600378,Stock
c122,US17275R1023,296921,Stock
c122,US2635341090,256999,Stock
c122,US4370761029,978528,Stock
c122,US4581401001,249308,Stock
c122,US46625H1005,594180,Stock
c122,US4781601046,253483,Stock
c122,US58933Y1055,331468,Stock
c122,US6541061031,652077,Stock
c122,US7170811035,517388,Stock
c122,US89417E1091,341037,Stock
c122,US92826C8394,724152,Stock
c123,10543191,3000000,Bond
c123,12008038,2000000,Bond
c123,18447119,5000000,Bond
c123,18679488,3000000,Bond
c123,19196590,2000000,Bond
c123,20250043,8000000,Bond
c123,21435616,9000000,Bond
c123,22163478,8000000,Bond
c123,22340879,1000000,Bond
c123,23576887,6000000,Bond
c123,25212188,9000000,Bond
c123,25584643,8000000,Bond
c123,26519290,1000000,Bond
c123,28381755,3000000,Bond
c123,28477662,2000000,Bond
c123,28607037,1000000,Bond
c123,28697808,3000000,Bond
c123,29316935,8000000,Bond
c123,29432407,1000000,Bond
c123,29979140,3000000,Bond
c123,30177057,2000000,Bond
c123,30404769,8000000,Bond
c123,30661116,5000000,Bond
c123,30662625,2000000,Bond
c123,30798943,8000000,Bond
c123,30939999,3000000,Bond
c123,31160432,10000000,Bond
c123,31644137,8000000,Bond
c123,Cash,4104368,Cash
c123,US0258161092,206623,Stock
c123,US0970231058,477625,Stock
c123,US1491231015,662905,Stock
c123,US1667641005,778379,Stock
c123,US1912161007,791473,Stock
c123,US3696041033,518729,Stock
c123,US4592001014,223975,Stock
c123,US46625H1005,162637,Stock
c123,US6541061031,513600,Stock
c123,US88579Y1010,758786,Stock
c123,US89417E1091,356233,Stock
c123,US9130171096,840611,Stock
c123,US91324P1021,2193,Stock
c123,US92826C8394,679516,Stock
c124,723255,1000000,Bond
c124,10215688,4000000,Bond
c124,11656535,10000000,Bond
c124,12232748,3000000,Bond
c124,12438180,2000000,Bond
c124,12571903,3000000,Bond
c124,13817118,6000000,Bond
c124,14931777,4000000,Bond
c124,18825743,10000000,Bond
c124,19505895,10000000,Bond
c124,19670101,8000000,Bond
c124,20568148,8000000,Bond
c124,20671364,3000000,Bond
c124,20945093,3000000,Bond
c124,20998660,10000000,Bond
c124,21435616,6000000,Bond
c124,22187556,7000000,Bond
c124,22447836,8000000,Bond
c124,22898883,4000000,Bond
c124,23792274,3000000,Bond
c124,23804298,4000000,Bond
c124,23824246,7000000,Bond
c124,23876188,2000000,Bond
c124,24354755,6000000,Bond
c124,24580280,5000000,Bond
c124,24825774,4000000,Bond
c124,26552677,7000000,Bond
c124,26979359,4000000,Bond
c124,27253515,4000000,Bond
c124,27416250,9000000,Bond
c124,27717188,3000000,Bond
c124,28118860,1000000,Bond
c124,28214974,8000000,Bond
c124,28349027,5000000,Bond
c124,28549980,9000000,Bond
c124,29168997,7000000,Bond
c124,29316676,10000000,Bond
c124,29431065,8000000,Bond
c124,29610064,2000000,Bond
c124,29863198,10000000,Bond
c124,29879942,6000000,Bond
c124,30011859,10000000,Bond
c124,30372231,9000000,Bond
c124,30553613,5000000,Bond
c124,30570777,10000000,Bond
c124,30658331,6000000,Bond
c124,30689304,10000000,Bond
c124,30755545,4000000,Bond
c124,30912734,8000000,Bond
c124,31118555,2000000,Bond
c124,31277872,3000000,Bond
c124,32020500,8000000,Bond
c124,32055650,7000000,Bond
c124,32080974,4000000,Bond
c124,32357645,1000000,Bond
c124,32555435,6000000,Bond
c124,32582431,9000000,Bond
c124,Cash,87160,Cash
c124,US1667641005,6283,Stock
c124,US2635341090,4908,Stock
c124,US4370761029,5039,Stock
c124,US5801351017,2722,Stock
c124,US92343V1044,8444,Stock
