,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
0,SplitAndProportionalCashDividend,0.64,1.31,0.0,1.0,USD,Valid,11/11/2016,6.515625,108.87,Request,108.43,107.79,106.55,,107.12,Success,0.5937,1.2229,"{u'Cusip': u'037833100', u'Name': u'Apple Inc.', u'CategoryOrIndustry': u'CONSUMER GOODS', u'CIK': u'0000320193', u'Symbol': u'AAPL', u'Valoren': u'908440', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US0378331005', u'Message': None, u'Outcome': u'Success', u'Market': u'NASDAQGS'}",1.0,34143898.0,US0378331005
1,SplitAndProportionalCashDividend,0.39,0.53,0.0,1.0,USD,Valid,11/11/2016,0.0,70.59,Header,70.5,70.11,69.65,,69.97,Success,0.5563,0.7575,"{u'Cusip': u'025816109', u'Name': u'American Express Company', u'CategoryOrIndustry': u'FINANCIAL', u'CIK': u'0000004962', u'Symbol': u'AXP', u'Valoren': u'906153', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US0258161092', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,4656115.0,US0258161092
2,SplitAndProportionalCashDividend,0.83,1.4,0.0,1.0,USD,Valid,11/11/2016,0.0,148.6,Header,148.52,147.69,146.56,,147.12,Success,0.562,0.9516,"{u'Cusip': u'097023105', u'Name': u'The Boeing Company', u'CategoryOrIndustry': u'INDUSTRIAL GOODS', u'CIK': u'0000012927', u'Symbol': u'BA', u'Valoren': u'913253', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US0970231058', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,3585163.0,US0970231058
3,SplitAndProportionalCashDividend,-0.44,-0.38,0.0,1.0,USD,Valid,11/11/2016,0.0,94.34,Header,93.01,93.45,91.82,,93.39,Success,-0.4708,-0.4069,"{u'Cusip': u'149123101', u'Name': u'Caterpillar Inc.', u'CategoryOrIndustry': u'INDUSTRIAL GOODS', u'CIK': u'0000018230', u'Symbol': u'CAT', u'Valoren': u'916546', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US1491231015', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,7369906.0,US1491231015
4,SplitAndProportionalCashDividend,0.36,0.43,0.0,1.0,USD,Valid,11/11/2016,0.0,31.47,Header,31.36,31.0,30.92,,30.93,Success,1.1613,1.3902,"{u'Cusip': u'17275R102', u'Name': u'Cisco Systems Inc. ', u'CategoryOrIndustry': u'TECHNOLOGY', u'CIK': u'0000858877', u'Symbol': u'CSCO', u'Valoren': u'918546', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US17275R1023', u'Message': None, u'Outcome': u'Success', u'Market': u'NASDAQGS'}",1.0,23150319.0,US17275R1023
5,SplitAndProportionalCashDividend,-1.15,-0.84,0.0,1.0,USD,Valid,11/11/2016,0.0,107.65,Header,106.64,107.79,105.94,,107.48,Success,-1.0669,-0.7815,"{u'Cusip': u'166764100', u'Name': u'Chevron Corporation', u'CategoryOrIndustry': u'BASIC MATERIALS', u'CIK': u'0000093410', u'Symbol': u'CVX', u'Valoren': u'1281709', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US1667641005', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,7939479.0,US1667641005
6,SplitAndProportionalCashDividend,-1.74,-1.52,0.0,1.0,USD,Valid,11/11/2016,0.0,70.9,Header,69.21,70.95,67.72,,70.73,Success,-2.4524,-2.149,"{u'Cusip': u'263534109', u'Name': u'E. I. du Pont de Nemours and Company (DuPont)', u'CategoryOrIndustry': u'BASIC MATERIALS', u'CIK': u'0000030554', u'Symbol': u'DD', u'Valoren': u'927399', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US2635341090', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,5739800.0,US2635341090
7,SplitAndProportionalCashDividend,2.72,0.5,0.0,1.0,USD,Valid,11/11/2016,0.0,98.32,Header,97.68,94.96,95.78,,97.18,Success,2.8644,0.5145,"{u'Cusip': u'254687106', u'Name': u'The Walt Disney Company', u'CategoryOrIndustry': u'SERVICES', u'CIK': u'0001001039', u'Symbol': u'DIS', u'Valoren': u'984192', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US2546871060', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,23008062.0,US2546871060
8,SplitAndProportionalCashDividend,0.3,0.22,0.0,1.0,USD,Valid,11/11/2016,0.0,30.77,Header,30.71,30.41,30.37,,30.49,Success,0.9865,0.7215,"{u'Cusip': u'369604103', u'Name': u'General Electric Company', u'CategoryOrIndustry': u'INDUSTRIAL GOODS', u'CIK': u'0000040545', u'Symbol': u'GE', u'Valoren': u'933071', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US3696041033', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,42712372.0,US3696041033
9,SplitAndProportionalCashDividend,3.07,5.69,0.0,1.0,USD,Valid,11/11/2016,0.0,205.0,Header,203.94,200.87,198.25,,198.25,Success,1.5284,2.8701,"{u'Cusip': u'38141G104', u'Name': u'Goldman Sachs Group Inc.', u'CategoryOrIndustry': u'FINANCIAL', u'CIK': u'0000886982', u'Symbol': u'GS', u'Valoren': u'714968', u'Delay': 0.0, u'Identity': None, u'ISIN': u'US38141G1040', u'Message': None, u'Outcome': u'Success', u'Market': u'NYSE'}",1.0,6290179.0,US38141G1040
