ISIN_Stock,Exchange Ticker,MyName,MyAssetClass,RIC,Instrument Description,Asset Category Code,Asset Category Description,ISIN,Dividend Yield Relative to Sector,Net Dividend Yield,5 Year Dividend Per Share Growth,Issuer Rating,Business Description,GICS Sector Code,GICS Sector Name,GICS Industry Group Name,GICS Industry Name,GICS Sub-Industry Name,Company Market Cap,Company Name
US0378331005,AAPL,Apple Inc,ORD,AAPL.O,Apple Inc,ORD,Ordinary Share,US0378331005,97.92250575,NULL,NULL,P-1,"Apple Inc. designs, manufactures and markets mobile communication and media devices, personal computers and portable digital music players. The Company sells a range of related software, services, accessories, networking solutions, and third-party digital content and applications. The Company's segments include the Americas, Europe, Greater China, Japan and Rest of Asia Pacific. The Americas segment includes both North and South America. The Europe segment includes European countries, India, the Middle East and Africa. The Greater China segment includes China, Hong Kong and Taiwan. The Rest of Asia Pacific segment includes Australia and the Asian countries not included in the Company's other operating segments. Its products and services include iPhone, iPad, Mac, iPod, Apple Watch, Apple TV, a portfolio of consumer and professional software applications, iPhone OS (iOS), OS X and watchOS operating systems, iCloud, Apple Pay and a range of accessory, service and support offerings.",45,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",5.78E+11,Apple Inc
US0258161092,AXP,American Express Co,ORD,AXP,American Express Co,ORD,Ordinary Share,US0258161092,91.36095297,NULL,10.57142153,WR,"American Express Company is a services company. The Company's principal products and services are charge and credit payment card products, and travel-related services offered to consumers and businesses around the world. The Company's segments include U.S. Consumer Services (USCS), International Consumer and Network Services (ICNS), Global Commercial Services (GCS) and Global Merchant Services (GMS). The USCS segment includes the U.S. Consumer Card Services business and travel services in the United States. The ICNS segment includes the International Consumer Card Services business, Global Network Services (GNS) business and travel services outside the United States. The GCS segment includes the Global Corporate Payments (GCP) business, small business services businesses in the United States and internationally, merchant financing products and foreign exchange services operations. The GMS segment includes the Global Merchant Services business and global loyalty coalition businesses.",40,Financials,Diversified Financials,Consumer Finance,Consumer Finance,64525504220,American Express Co
US0970231058,BA,Boeing Co,ORD,BA,Boeing Co,ORD,Ordinary Share,US0970231058,127.4480197,NULL,21.01395128,F1,"The Boeing Company is an aerospace firm. The Company operates in five segments: Commercial airplanes; Defense, Space & Security (BDS) business, such as Boeing Military Aircraft (BMA), Network & Space Systems (N&SS) and Global Services & Support (GS&S), and Boeing Capital (BCC). Its Commercial Airplanes segment develops, produces and markets commercial jet aircraft, which provides related support services to the commercial airline industry. Its BMA segment is engaged in the research, development, production and modification of military aircraft and weapons systems. Its N&SS segment is engaged in the research, development, production and modification of the products and related services, such as electronics, strategic missile and defense systems, and information solutions, among others. Its GS&S segment provides services to aircraft and systems. Its BCC's segment portfolio consists of equipment under operating leases, finance leases, notes and other receivables and assets held for sale.",20,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,91661479765,Boeing Co
US1491231015,CAT,Caterpillar Inc,ORD,CAT,Caterpillar Inc,ORD,Ordinary Share,US1491231015,112.7505901,NULL,11.34113452,P-1,"Caterpillar Inc. is a manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The Company operates through its three product segments: Resource Industries, Construction Industries, and Energy & Transportation. It also provides financing and related services through its Financial Products segment. Its Construction Industries segment provides machinery for infrastructure and building construction applications. Its Resource Industries segment offers machinery for mine and quarry applications. Its Energy & Transportation segment offers reciprocating engines, generator sets, gas turbines and turbine-related services, diesel-electric locomotives and other rail-related products and services. Its Financial Products segment conducts its business through Caterpillar Financial Services Corporation (Cat Financial). Cat Financial provides retail and wholesale financing alternatives for Caterpillar products.",20,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,54417601131,Caterpillar Inc
US17275R1023,CSCO,Cisco Systems Inc,ORD,CSCO.O,Cisco Systems Inc,ORD,Ordinary Share,US17275R1023,108.7059229,NULL,NULL,P-1,"Cisco Systems, Inc. designs and sells a range of products, provides services and delivers integrated solutions to develop and connect networks around the world. The Company operates through three geographic segments: Americas; Europe, the Middle East and Africa (EMEA), and Asia Pacific, Japan and China (APJC). The Company groups its products and technologies into various categories, such as Switching; Next-Generation Network (NGN) Routing; Collaboration; Data Center; Wireless; Service Provider Video; Security, and Other Products. In addition to its product offerings, the Company provides a range of service offerings, including technical support services and advanced services. The Company delivers its technology and services to its customers as solutions for their priorities, including cloud, video, mobility, security, collaboration and analytics. The Company serves customers, including businesses of all sizes, public institutions, governments and service providers.",45,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment,1.58E+11,Cisco Systems Inc
US1667641005,CVX,Chevron Corp,ORD,CVX,Chevron Corp,ORD,Ordinary Share,US1667641005,107.0200254,NULL,6.782420871,AA (low),"Chevron Corporation (Chevron) manages its investments in subsidiaries and affiliates and provides administrative, financial, management and technology support to the United States and international subsidiaries that engage in integrated energy and chemicals operations. The Company operates through two business segments: Upstream and Downstream. The Upstream segment consists primarily of exploring for, developing and producing crude oil and natural gas; transporting crude oil by international oil export pipelines; transporting, storage and marketing of natural gas, and a gas-to-liquids plant. Downstream operations consist primarily of refining crude oil into petroleum products; marketing of crude oil and refined products; transporting crude oil and refined products by pipeline, marine vessel, motor equipment and rail car, and manufacturing and marketing of commodity petrochemicals, plastics for industrial uses and fuel and lubricant additives.",10,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,2.01E+11,Chevron Corp
US2635341090,DD,E I du Pont de Nemours and Co,ORD,DD,E I du Pont de Nemours and Co,ORD,Ordinary Share,US2635341090,77.58609368,NULL,-1.508228699,F1,"E. I. du Pont de Nemours and Company (DuPont) is a science and technology-based company. The Company consists of over 10 businesses aggregated into six segments: Agriculture, Electronics & Communications, Industrial Biosciences, Nutrition & Health, Performance Materials and Safety & Protection. Its products include corn hybrids and soybean varieties, herbicides, fungicides and insecticides in Agriculture segment; photopolymers and electronic materials in Electronics & Communications segment; enzymes and bio-based materials in Industrial Biosciences segment; cultures, emulsifiers, texturants, natural sweeteners and soy-based food ingredients in Nutrition & Health segment; engineering polymers, packaging and industrial polymers, films and elastomers in Performance Materials segment, and nonwovens, aramids and solid surfaces in Safety & Protection segment. It is also involved in other businesses, such as pre-commercial programs, nonaligned businesses and pharmaceuticals in other.",15,Materials,Materials,Chemicals,Diversified Chemicals,60167159820,E I du Pont de Nemours and Co
US2546871060,DIS,Walt Disney Co,ORD,DIS,Walt Disney Co,ORD,Ordinary Share,US2546871060,93.90881899,NULL,27.91813389,F1,"The Walt Disney Company is a diversified entertainment company. The Company's business segments include Media Networks, Parks and Resorts, Studio Entertainment, Consumer Products and Interactive. The Media Networks segment includes cable and broadcast television networks, television production operations, television distribution, domestic television stations, and radio networks and stations. The Parks and Resorts segment owns and operates the Walt Disney World Resort in Florida, the Disney Cruise Line and Adventures by Disney. The Studio Entertainment segment produces live-action and animated motion pictures, musical recordings and live stage plays. The Consumer Products segment engages with licensees, publishers and retailers to design and sell a range of products based on the Company's property through its licensing, publishing and retail businesses. The Interactive segment creates and delivers branded entertainment and lifestyle content across interactive media platforms.",25,Consumer Discretionary,Media,Media,Movies & Entertainment,1.57E+11,Walt Disney Co
US3696041033,GE,General Electric Co,ORD,GE,General Electric Co,ORD,Ordinary Share,US3696041033,109.2090715,NULL,9.665990814,A1,"General Electric Company (GE) is a global digital industrial company. The Company's products and services range from aircraft engines, power generation and oil and gas production equipment to medical imaging, financing and industrial products. Its segments include Power segment offers products and services related to energy production and water reuse; Renewable Energy segment offers renewable power sources; Oil & Gas offers drilling, completion, production and oil field operation; Energy Management offers technologies to electrical power; Aviation designs and produces commercial and military aircraft engines, integrated digital components and mechanical aircraft systems; Healthcare provides essential healthcare technologies; Transportation is a supplier to the railroad, mining, marine, stationary power and drilling industries; Appliances & Lighting offers appliances and a subset of lighting products, and Capital offers continuing financial services businesses and products.",20,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,2.72E+11,General Electric Co
US38141G1040,GS,Goldman Sachs Group Inc,ORD,GS,Goldman Sachs Group Inc,ORD,Ordinary Share,US38141G1040,86.62161661,NULL,13.17983656,F1,"The Goldman Sachs Group, Inc. is a bank holding company and a financial holding company. The Company operates through four segments: Investment Banking, Institutional Client Services, Investing & Lending, and Investment Management. The Company's Investment Banking segment provides financial advisory services, which include advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense activities, restructurings, spin-offs and risk management. The Company's Institutional Client Services segment makes markets and facilitates client transactions in fixed income, equity, currency and commodity products. The Company's investing and lending activities include its investing and relationship lending activities across various asset classes, primarily debt securities and loans, public and private equity securities, and real estate. The Company's investment management segment provides investment and wealth advisory services.",40,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,81096581315,Goldman Sachs Group Inc
US4370761029,HD,Home Depot Inc,ORD,HD,Home Depot Inc,ORD,Ordinary Share,US4370761029,99.24822447,NULL,20.08701201,F1,"The Home Depot, Inc. (The Home Depot) is a home improvement retailer. The Company sells an assortment of building materials, home improvement products, and lawn and garden products, and provides various services. The Home Depot stores serve three primary customer groups: do-it-yourself (DIY) customers, do-it-for-me (DIFM) customers and professional customers. Its DIY customers are home owners who purchase products and complete their own projects and installations. The Company assists these customers with specific product and installation questions both in its stores and through online resources and other media designed to provide product and project knowledge. Its DIFM customers are home owners who purchase materials themselves and hire third parties to complete the project or installation. Professional Customers are primarily professional renovators/remodelers, general contractors, repairmen, installers, small business owners and tradesmen.",25,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,1.60E+11,Home Depot Inc
US4592001014,IBM,International Business Machines Corp,ORD,IBM,International Business Machines Corp,ORD,Ordinary Share,US4592001014,114.924723,NULL,13.6561494,P-1,"International Business Machines Corporation (IBM) is a technology company. The Company operates through five segments: Global Technology Services (GTS), Global Business Services (GBS), Software, Systems Hardware and Global Financing. The Company's GTS segment offers services, including strategic outsourcing, integrated technology services, cloud and technology support services (maintenance services). Its GBS segment provides consulting and systems integration, application management services and process services. The software segment consists primarily of middleware and operating systems software. The Systems Hardware segment provides clients with infrastructure technologies. The Company's Global Financing segment includes client financing, commercial financing, and remanufacturing and remarketing.",45,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,1.53E+11,International Business Machines Corp
